id,prompt,created_at,q_id,scenario_code,weight,is_active,failure_condition,requirement_to_proceed,retest_condition,constraint_label,requirement_to_proceed_non_fail,retest_condition_non_fail,constraint_why,dimension_code,hard_fail_message,is_hard_fail,action_required,snapshot_at
176fa7d7-90be-4c20-a139-f7430c50d4c4,Have you clearly defined your target customer?,2026-03-29 04:34:34.054769,S1_MR_02,startup,1,true,There is not enough evidence that real customers will buy.,Obtain real customer evidence before proceeding.,Re-test after there is real evidence customers will buy.,You do not have a clearly defined target market,Show credible customer demand.,Re-run once demand evidence is stronger.,Assumption is not the same thing as demand.,market_reality,No hard fail message.,false,Validate demand with real customers.,2026-04-24 04:03:53.320838+00
176fa7d7-90be-4c20-a139-f7430c50d4c4,Have you clearly defined your target customer?,2026-03-29 04:34:34.054769,S1_MR_02,startup,1,true,There is not enough evidence that real customers will buy.,Obtain real customer evidence before proceeding.,Re-test after there is real evidence customers will buy.,You do not have a clearly defined target market,Show credible customer demand.,Re-run once demand evidence is stronger.,Assumption is not the same thing as demand.,market_reality,No hard fail message.,false,Validate demand with real customers.,2026-04-25 03:52:52.36473+00
2584374b-0bf0-4b45-b6f0-87665d85fa1b,Can you clearly explain how this business makes money?,2026-03-29 04:34:34.054769,S1_EL_01,startup,1,true,The revenue model is not clear.,A clear explanation of how the business makes money is required before proceeding.,Re-run only after the revenue model can be explained simply.,You cannot clearly explain how this business generates revenue,"You must be able to clearly explain how this business generates revenue, incurs costs, and reaches break-even","Re-run once revenue model, cost structure, and runway are clearly defined","If the money model is unclear, decisions will be poor.",economic_literacy,No hard fail message.,false,Clarify revenue and cost structure.,2026-04-24 04:03:53.320838+00
2584374b-0bf0-4b45-b6f0-87665d85fa1b,Can you clearly explain how this business makes money?,2026-03-29 04:34:34.054769,S1_EL_01,startup,1,true,The revenue model is not clear.,A clear explanation of how the business makes money is required before proceeding.,Re-run only after the revenue model can be explained simply.,You cannot clearly explain how this business generates revenue,"You must be able to clearly explain how this business generates revenue, incurs costs, and reaches break-even","Re-run once revenue model, cost structure, and runway are clearly defined","If the money model is unclear, decisions will be poor.",economic_literacy,No hard fail message.,false,Clarify revenue and cost structure.,2026-04-25 03:52:52.36473+00
37934328-603e-4888-9fa1-0aa2e97a6307,What evidence do you have that customers will pay for this?,2026-03-29 04:34:34.054769,S1_MR_01,startup,1,true,No validated customer demand.,Evidence of real customer willingness to pay is required before proceeding.,Re-run only after evidence of willingness to pay exists.,You have not validated that real customers are willing to pay for this offering,Show credible customer demand.,Re-run once demand evidence is stronger.,Assumption is not the same thing as demand.,market_reality,No hard fail message.,false,Validate demand with real customers.,2026-04-24 04:03:53.320838+00
37934328-603e-4888-9fa1-0aa2e97a6307,What evidence do you have that customers will pay for this?,2026-03-29 04:34:34.054769,S1_MR_01,startup,1,true,No validated customer demand.,Evidence of real customer willingness to pay is required before proceeding.,Re-run only after evidence of willingness to pay exists.,You have not validated that real customers are willing to pay for this offering,Show credible customer demand.,Re-run once demand evidence is stronger.,Assumption is not the same thing as demand.,market_reality,No hard fail message.,false,Validate demand with real customers.,2026-04-25 03:52:52.36473+00
4231f288-240f-4909-93a9-f056d549e74a,Have you defined how you will deliver your first 10 customers?,2026-03-29 04:34:34.054769,S1_OC_01,startup,1,true,Income is too dependent on too few customers or too narrow a source.,Spread revenue risk across more customers or sources.,Re-test after revenue is less exposed to one customer or source.,You do not have a clear plan for how you will deliver your first jobs,Show broader and safer revenue sources.,Re-run once revenue is more diversified.,Too much reliance on one source makes income fragile.,market_reality,No hard fail message.,false,Reduce concentration risk.,2026-04-24 04:03:53.320838+00
4231f288-240f-4909-93a9-f056d549e74a,Have you defined how you will deliver your first 10 customers?,2026-03-29 04:34:34.054769,S1_OC_01,startup,1,true,Income is too dependent on too few customers or too narrow a source.,Spread revenue risk across more customers or sources.,Re-test after revenue is less exposed to one customer or source.,You do not have a clear plan for how you will deliver your first jobs,Show broader and safer revenue sources.,Re-run once revenue is more diversified.,Too much reliance on one source makes income fragile.,market_reality,No hard fail message.,false,Reduce concentration risk.,2026-04-25 03:52:52.36473+00
4cbc62d7-9347-4280-aee9-fad00d479199,Have you identified your main cost drivers?,2026-03-29 04:34:34.054769,S1_CR_02,startup,1,true,The money model is not clear enough to show how the business actually works.,"Be able to explain clearly how revenue, costs and profit work.",Re-test after the revenue and cost structure can be explained simply.,You do not have a clear understanding of your operating costs,"You must be able to clearly explain how this business generates revenue, incurs costs, and reaches break-even","Re-run once revenue model, cost structure, and runway are clearly defined","If the money model is unclear, decisions will be poor.",economic_literacy,Test failure triggered,true,"Define your core cost structure:
- Labour cost per job
- Materials per job
- Overheads allocation
- Minimum viable margin",2026-04-24 04:03:53.320838+00
4cbc62d7-9347-4280-aee9-fad00d479199,Have you identified your main cost drivers?,2026-03-29 04:34:34.054769,S1_CR_02,startup,1,true,The money model is not clear enough to show how the business actually works.,"Be able to explain clearly how revenue, costs and profit work.",Re-test after the revenue and cost structure can be explained simply.,You do not have a clear understanding of your operating costs,"You must be able to clearly explain how this business generates revenue, incurs costs, and reaches break-even","Re-run once revenue model, cost structure, and runway are clearly defined","If the money model is unclear, decisions will be poor.",economic_literacy,Test failure triggered,true,"Define your core cost structure:
- Labour cost per job
- Materials per job
- Overheads allocation
- Minimum viable margin",2026-04-25 03:52:52.36473+00
755640f1-ecd6-439d-bbbb-dfec365972a7,Have you estimated your break-even point?,2026-03-29 04:34:34.054769,S1_EL_02,startup,1,true,The money model is not clear enough to show how the business actually works.,"Be able to explain clearly how revenue, costs and profit work.",Re-test after the revenue and cost structure can be explained simply.,You do not understand how long it will take for this business to reach break-even,"You must be able to clearly explain how this business generates revenue, incurs costs, and reaches break-even","Re-run once revenue model, cost structure, and runway are clearly defined","If the money model is unclear, decisions will be poor.",economic_literacy,No hard fail message.,false,Clarify revenue and cost structure.,2026-04-24 04:03:53.320838+00
755640f1-ecd6-439d-bbbb-dfec365972a7,Have you estimated your break-even point?,2026-03-29 04:34:34.054769,S1_EL_02,startup,1,true,The money model is not clear enough to show how the business actually works.,"Be able to explain clearly how revenue, costs and profit work.",Re-test after the revenue and cost structure can be explained simply.,You do not understand how long it will take for this business to reach break-even,"You must be able to clearly explain how this business generates revenue, incurs costs, and reaches break-even","Re-run once revenue model, cost structure, and runway are clearly defined","If the money model is unclear, decisions will be poor.",economic_literacy,No hard fail message.,false,Clarify revenue and cost structure.,2026-04-25 03:52:52.36473+00
cf6b341f-12c5-4285-b43b-fd0c2ed220a5,Can you commit consistent time to this for the next 30 days?,2026-03-29 04:34:34.054769,S1_FC_02,startup,1,true,The business depends too heavily on personal debt or credit to stay alive.,Reduce reliance on personal debt before proceeding.,Re-test after personal debt reliance has been reduced.,You do not have a clearly defined or realistic time commitment for this business,You must define how you will consistently allocate time and energy to this business alongside current commitments,Re-run once a clear and realistic time commitment plan is defined,Heavy personal debt can hide a weak business model.,economic_literacy,No hard fail message.,false,Reduce debt reliance.,2026-04-24 04:03:53.320838+00
cf6b341f-12c5-4285-b43b-fd0c2ed220a5,Can you commit consistent time to this for the next 30 days?,2026-03-29 04:34:34.054769,S1_FC_02,startup,1,true,The business depends too heavily on personal debt or credit to stay alive.,Reduce reliance on personal debt before proceeding.,Re-test after personal debt reliance has been reduced.,You do not have a clearly defined or realistic time commitment for this business,You must define how you will consistently allocate time and energy to this business alongside current commitments,Re-run once a clear and realistic time commitment plan is defined,Heavy personal debt can hide a weak business model.,economic_literacy,No hard fail message.,false,Reduce debt reliance.,2026-04-25 03:52:52.36473+00
e29c76d5-5ab3-4c27-93a4-169b61e2d79f,Have you taken any concrete action toward this business?,2026-03-29 04:34:34.054769,S1_FC_01,startup,1,true,No concrete execution has occurred.,Observable action toward validation is required before proceeding.,Re-run only after concrete action has occurred.,You have not taken any concrete action to validate or progress this business,You must define how you will consistently allocate time and energy to this business alongside current commitments,Re-run once a clear and realistic time commitment plan is defined,Heavy personal debt can hide a weak business model.,economic_literacy,No hard fail message.,false,Reduce debt reliance.,2026-04-24 04:03:53.320838+00
e29c76d5-5ab3-4c27-93a4-169b61e2d79f,Have you taken any concrete action toward this business?,2026-03-29 04:34:34.054769,S1_FC_01,startup,1,true,No concrete execution has occurred.,Observable action toward validation is required before proceeding.,Re-run only after concrete action has occurred.,You have not taken any concrete action to validate or progress this business,You must define how you will consistently allocate time and energy to this business alongside current commitments,Re-run once a clear and realistic time commitment plan is defined,Heavy personal debt can hide a weak business model.,economic_literacy,No hard fail message.,false,Reduce debt reliance.,2026-04-25 03:52:52.36473+00
e30d80cf-c1bd-45cb-8dc1-d840722605ea,Have you estimated how long you can operate without income?,2026-03-29 04:34:34.054769,S1_CR_01,startup,1,true,No survival runway has been defined.,A basic operating runway estimate is required before proceeding.,Re-run only after runway has been estimated.,You do not have sufficient financial runway to start and sustain this business,"You must be able to clearly explain how this business generates revenue, incurs costs, and reaches break-even","Re-run once revenue model, cost structure, and runway are clearly defined",Short cash runway leaves no room for normal business mistakes.,cash_reality,No hard fail message.,false,Strengthen cash position.,2026-04-24 04:03:53.320838+00
e30d80cf-c1bd-45cb-8dc1-d840722605ea,Have you estimated how long you can operate without income?,2026-03-29 04:34:34.054769,S1_CR_01,startup,1,true,No survival runway has been defined.,A basic operating runway estimate is required before proceeding.,Re-run only after runway has been estimated.,You do not have sufficient financial runway to start and sustain this business,"You must be able to clearly explain how this business generates revenue, incurs costs, and reaches break-even","Re-run once revenue model, cost structure, and runway are clearly defined",Short cash runway leaves no room for normal business mistakes.,cash_reality,No hard fail message.,false,Strengthen cash position.,2026-04-25 03:52:52.36473+00
e96697e0-e032-48ec-8ece-35ca2220fb56,Do you know the minimum resources required to start?,2026-03-29 04:34:34.054769,S1_OC_02,startup,1,true,There is not enough cash buffer to survive mistakes or slow sales.,Build a safer cash buffer before proceeding.,Re-test after cash reserves or committed funding are genuinely in place.,You do not understand the resources required to deliver this service,Show a practical cash plan and buffer.,Re-run once the cash plan is clearer and stronger.,Short cash runway leaves no room for normal business mistakes.,cash_reality,No hard fail message.,false,Strengthen cash position.,2026-04-24 04:03:53.320838+00
e96697e0-e032-48ec-8ece-35ca2220fb56,Do you know the minimum resources required to start?,2026-03-29 04:34:34.054769,S1_OC_02,startup,1,true,There is not enough cash buffer to survive mistakes or slow sales.,Build a safer cash buffer before proceeding.,Re-test after cash reserves or committed funding are genuinely in place.,You do not understand the resources required to deliver this service,Show a practical cash plan and buffer.,Re-run once the cash plan is clearer and stronger.,Short cash runway leaves no room for normal business mistakes.,cash_reality,No hard fail message.,false,Strengthen cash position.,2026-04-25 03:52:52.36473+00